InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
359178,SKU_1386,USB Cable,-30,2020-01-01 04:00,-68.11,,United Kingdom,1.501433043360303,Bank Transfer,,Electronics,In-store,Not Returned,FedEx,,Medium
655839,SKU_1047,Office Chair,48,2020-01-03 01:00,4.74,,Belgium,0.22,Credit Card,23.11,Accessories,Online,Not Returned,UPS,London,High
305041,SKU_1731,Desk Lamp,45,2020-01-03 14:00,54.79,,United Kingdom,0.23,Credit Card,8.97,Accessories,In-store,Not Returned,DHL,,Medium
672843,SKU_1953,Headphones,3,2020-01-03 23:00,99.17,,United States,0.03,paypall,11.58,Stationery,Online,Not Returned,DHL,London,Medium
124300,SKU_1951,Headphones,8,2020-01-05 07:00,46.19,,Norway,0.1,Bank Transfer,12.81,Stationery,In-store,Not Returned,UPS,,High
451279,SKU_1617,Wall Clock,-2,2020-01-07 00:00,34.06,,Spain,0.34,Credit Card,,Furniture,Online,Not Returned,DHL,,Medium
747972,SKU_1514,Desk Lamp,-26,2020-01-07 03:00,-72.33,,Netherlands,1.97208653797146,paypall,,Electronics,In-store,Not Returned,Royal Mail,,Low
318969,SKU_1115,Desk Lamp,-19,2020-01-07 23:00,-3.61,,Italy,1.0522543262800623,Credit Card,,Apparel,In-store,Not Returned,UPS,,High
872838,SKU_1491,Wall Clock,21,2020-01-08 05:00,32.07,,Belgium,0.01,Credit Card,9.79,Stationery,In-store,Not Returned,FedEx,Paris,Medium
285340,SKU_1710,Blue Pen,-3,2020-01-08 08:00,85.95,,Netherlands,0.26,Credit Card,,Accessories,In-store,Not Returned,UPS,,Low
542296,SKU_1447,Headphones,45,2020-01-09 03:00,56.42,,Germany,0.42,Bank Transfer,25.27,Apparel,Online,Returned,UPS,Berlin,Medium
981691,SKU_1962,Backpack,3,2020-01-09 06:00,2.73,,Portugal,0.09,Credit Card,17.4,Accessories,In-store,Not Returned,UPS,,High
867595,SKU_1343,White Mug,-2,2020-01-09 07:00,-96.08,,Portugal,1.702087569366962,Bank Transfer,,Accessories,Online,Not Returned,FedEx,,Low
227948,SKU_1009,Office Chair,18,2020-01-10 00:00,42.63,,United States,0.3,Credit Card,19.69,Stationery,In-store,Not Returned,UPS,Amsterdam,Low
328576,SKU_1327,Wall Clock,7,2020-01-10 09:00,68.38,,Netherlands,0.14,Credit Card,16.63,Electronics,Online,Not Returned,FedEx,Paris,Medium
693128,SKU_1649,White Mug,20,2020-01-10 15:00,84.59,,Australia,0.49,paypall,22.17,Furniture,Online,Not Returned,FedEx,,Low
937291,SKU_1936,Wall Clock,-16,2020-01-11 22:00,-73.6,,Germany,1.535439956251199,Credit Card,,Electronics,Online,Not Returned,DHL,,Medium
911774,SKU_1210,Headphones,15,2020-01-12 09:00,13.24,,Norway,0.39,Bank Transfer,29.7,Furniture,In-store,Returned,DHL,,Medium
206081,SKU_1231,T-shirt,4,2020-01-12 13:00,88.55,,Norway,0.35,Credit Card,28.5,Accessories,Online,Not Returned,DHL,,High
212547,SKU_1552,Wall Clock,-26,2020-01-13 04:00,-51.94,,Norway,1.5234671839451164,Credit Card,,Stationery,In-store,Not Returned,FedEx,,High
758271,SKU_1967,Blue Pen,24,2020-01-13 09:00,64.47,,Germany,0.45,Bank Transfer,10.03,Furniture,In-store,Not Returned,Royal Mail,Paris,High
710269,SKU_1024,Wireless Mouse,-11,2020-01-14 02:00,-44.4,,Germany,1.6477538873239466,Bank Transfer,,Apparel,Online,Not Returned,UPS,,Low
247718,SKU_1942,White Mug,28,2020-01-14 04:00,15.63,31772.0,France,0.38,paypall,18.47,Furniture,Online,Not Returned,FedEx,Rome,Low
570587,SKU_1170,Wireless Mouse,21,2020-01-14 10:00,86.65,,Netherlands,0.04,Bank Transfer,28.08,Apparel,Online,Not Returned,Royal Mail,,High
391999,SKU_1593,Office Chair,-18,2020-01-14 18:00,16.98,,Australia,0.21,paypall,,Apparel,Online,Not Returned,Royal Mail,,Medium
798376,SKU_1242,Blue Pen,-38,2020-01-14 20:00,-76.95,,Sweden,0.35,paypall,,Apparel,In-store,Not Returned,UPS,,Low
421184,SKU_1345,Wall Clock,-39,2020-01-15 05:00,84.86,,Sweden,0.28,Bank Transfer,,Electronics,In-store,Not Returned,Royal Mail,,High
522515,SKU_1635,Wall Clock,25,2020-01-15 07:00,7.42,,United States,0.1,Bank Transfer,8.87,Electronics,In-store,Not Returned,DHL,Amsterdam,Low
803714,SKU_1775,Backpack,19,2020-01-15 15:00,54.66,,United States,0.47,paypall,21.01,Electronics,Online,Not Returned,DHL,,Low
837378,SKU_1078,Backpack,41,2020-01-15 18:00,23.32,,Spain,0.26,paypall,22.68,Apparel,Online,Not Returned,UPS,Paris,High
158871,SKU_1477,Notebook,20,2020-01-16 13:00,49.04,,Belgium,0.04,paypall,22.13,Electronics,In-store,Not Returned,FedEx,,High
500109,SKU_1475,Office Chair,45,2020-01-17 01:00,59.5,,Spain,0.38,paypall,15.3,Apparel,Online,Returned,DHL,,High
760960,SKU_1535,Notebook,-15,2020-01-17 15:00,27.3,,Sweden,0.41,paypall,,Accessories,In-store,Returned,FedEx,,Low
730271,SKU_1138,Notebook,22,2020-01-17 23:00,14.4,,France,0.21,Bank Transfer,22.87,Accessories,In-store,Not Returned,UPS,Berlin,Low
787995,SKU_1399,USB Cable,-32,2020-01-18 08:00,-98.61,,France,1.5807770446256528,Bank Transfer,,Accessories,Online,Not Returned,UPS,,High
511927,SKU_1451,Office Chair,20,2020-01-18 11:00,11.79,,Netherlands,0.44,paypall,7.49,Apparel,In-store,Not Returned,DHL,Rome,Medium
241564,SKU_1084,USB Cable,8,2020-01-18 20:00,97.94,,Italy,0.11,Credit Card,9.64,Accessories,In-store,Returned,DHL,,High
477812,SKU_1617,Wireless Mouse,12,2020-01-18 21:00,60.08,,France,0.09,Bank Transfer,7.12,Apparel,Online,Returned,Royal Mail,,Low
136631,SKU_1748,Wall Clock,28,2020-01-19 09:00,69.36,,Netherlands,0.48,paypall,27.99,Stationery,Online,Not Returned,FedEx,Paris,High
258823,SKU_1229,White Mug,-47,2020-01-19 22:00,98.15,,Germany,0.14,Credit Card,,Apparel,In-store,Returned,DHL,,High
679036,SKU_1195,T-shirt,16,2020-01-20 04:00,17.22,,Spain,0.03,Credit Card,11.63,Electronics,In-store,Not Returned,UPS,London,Low
544209,SKU_1717,White Mug,-43,2020-01-20 09:00,-1.47,,France,1.330014402043576,Bank Transfer,,Electronics,Online,Returned,UPS,,High
319963,SKU_1411,Notebook,-27,2020-01-20 13:00,51.17,,United Kingdom,0.0,paypall,,Electronics,In-store,Returned,Royal Mail,,Medium
364512,SKU_1962,T-shirt,-29,2020-01-20 20:00,-79.33,,Italy,0.1,Bank Transfer,,Apparel,Online,Not Returned,DHL,,Low
694319,SKU_1766,Wall Clock,22,2020-01-21 00:00,30.9,,Spain,0.43,Credit Card,13.21,Stationery,In-store,Not Returned,Royal Mail,,High
712210,SKU_1979,Blue Pen,9,2020-01-21 02:00,83.09,,Spain,0.15,paypall,5.34,Electronics,In-store,Returned,UPS,,Low
224046,SKU_1625,Wireless Mouse,-41,2020-01-21 04:00,-97.18,,Netherlands,0.18,paypall,,Accessories,In-store,Not Returned,DHL,,Medium
489957,SKU_1542,USB Cable,-11,2020-01-21 21:00,-84.13,,United States,0.19,Bank Transfer,,Accessories,In-store,Returned,DHL,,Medium
804107,SKU_1386,Notebook,-5,2020-01-22 04:00,-25.55,,Belgium,1.9926773147419656,Credit Card,,Accessories,Online,Not Returned,DHL,,Low
289407,SKU_1172,Backpack,12,2020-01-22 08:00,40.9,,United States,0.32,paypall,6.99,Apparel,Online,Not Returned,DHL,Berlin,Medium
322866,SKU_1723,Notebook,39,2020-01-22 19:00,26.77,,France,0.49,Bank Transfer,5.33,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,Low
850201,SKU_1397,USB Cable,-50,2020-01-23 15:00,-98.5,,Germany,0.42,paypall,,Apparel,In-store,Not Returned,DHL,,High
641252,SKU_1723,Headphones,45,2020-01-24 06:00,33.3,,Netherlands,0.39,paypall,23.87,Apparel,Online,Not Returned,FedEx,,Medium
612153,SKU_1566,Wireless Mouse,-28,2020-01-24 12:00,-89.53,,Belgium,1.5321500433511075,Bank Transfer,,Furniture,Online,Not Returned,Royal Mail,,High
260196,SKU_1878,USB Cable,39,2020-01-25 02:00,96.88,,Sweden,0.49,Credit Card,27.88,Furniture,Online,Not Returned,UPS,Rome,Low
864121,SKU_1978,T-shirt,9,2020-01-25 05:00,7.32,,United States,0.28,Bank Transfer,23.53,Accessories,In-store,Not Returned,DHL,Rome,Medium
497827,SKU_1957,Headphones,-49,2020-01-26 09:00,77.98,,United States,0.15,Bank Transfer,,Stationery,In-store,Not Returned,UPS,,High
104000,SKU_1243,USB Cable,35,2020-01-27 01:00,86.02,,Spain,0.26,Credit Card,10.64,Apparel,Online,Not Returned,FedEx,,Low
455754,SKU_1574,Wall Clock,-18,2020-01-27 04:00,-66.18,,Belgium,1.3518524557519638,Credit Card,,Apparel,In-store,Not Returned,DHL,,Medium
365517,SKU_1215,Headphones,25,2020-01-27 16:00,99.05,,Portugal,0.24,Bank Transfer,14.34,Apparel,Online,Not Returned,Royal Mail,Paris,High
485777,SKU_1185,Blue Pen,-41,2020-01-27 20:00,-35.69,,Netherlands,0.22,Bank Transfer,,Furniture,In-store,Not Returned,UPS,,High
651638,SKU_1152,Wireless Mouse,45,2020-01-27 22:00,19.41,,Italy,0.22,Bank Transfer,14.84,Electronics,Online,Not Returned,UPS,,High
